query,lat,lon
"Bessenyei street 8-10., Budapest, Hungary",,
"Budapest VI. district, Király street 40., Hungary",,
"Király street 40., Budapest, Hungary",,
"Budapest IX. district, Pápay István street 7., Hungary",,
"Budapest III. district, Kerék street, Hungary",,
"Kerék street, Budapest, Hungary",,
"Budapest, District 13, Danubius Street 16., Hungary",,
"Danubius Street 16., Budapest, Hungary",,
"Budapest III. district, Vöröskereszt street 14., Hungary",,
"Budapest VIII. district, Corvin Promenade 5., Hungary",,
"Corvin Promenade 5., Budapest, Hungary",,
"Budapest IX. district, Vágóhíd street 12., Hungary",,
"Budapest X. district, Korponai street 12., Hungary",,
"Budapest II. district, Cimbalom street, Hungary",,
"Cimbalom street, Budapest, Hungary",,
"Budapest IX. district, Mester street, Hungary",,
"Mester street, Budapest, Hungary",,
"Budapest VI. district, Bajza street, Hungary",,
"Bajza street, Budapest, Hungary",,
"Budapest VI. district, Bajnok street 11., Hungary",,
"Bajnok street 11., Budapest, Hungary",,
"Budapest 10th district, Petrőczy street, Hungary",,
"Petrőczy street, Budapest, Hungary",,
"Budapest II. district, Nagybányai street, Hungary",,
"Nagybányai street, Budapest, Hungary",,
"Budapest III. district, Iglice street, Hungary",,
"Iglice street, Budapest, Hungary",,
"Budapest VI. district, Csengery street 62., Hungary",,
"Csengery street 62., Budapest, Hungary",,
"Budapest V. district, Bank street, Hungary",,
"Bank street, Budapest, Hungary",,
"Budapest 6th district, Eötvös street, Hungary",,
"Eötvös street, Budapest, Hungary",,
"Budapest VI. district, Ó street 4., Hungary",,
"Ó street 4., Budapest, Hungary",,
"Budapest V. district, Dorottya street, Hungary",,
"Dorottya street, Budapest, Hungary",,
"Budapest VII. district, Lower Forest Row, Hungary",,
"Lower Forest Row, Budapest, Hungary",,
"Budapest V. district, József Attila street 18., Hungary",,
"Budapest IX. district, Tompa street 15., Hungary",,
"Tompa street 15., Budapest, Hungary",,
"Budapest VIII. district, Illés street, Hungary",,
"Illés street, Budapest, Hungary",,
"Budapest I. district, Szalag street, Hungary",,
"Szalag street, Budapest, Hungary",,
"Budapest, District XIV, Öv Street 133., Hungary",,
"Öv Street 133., Budapest, Hungary",,
"Budapest VIII. district, Práter street 6-8., Hungary",,
"Práter street 6-8., Budapest, Hungary",,
"Budapest V. district, József nádor tér, Hungary",,
"Budapest VII. district, Peterdy street, Hungary",,
"Peterdy street, Budapest, Hungary",,
"Budapest V. district, Vaci street 11/B, Hungary",,
"Vaci street 11/B, Budapest, Hungary",,
"Budapest VIII. district, Diószegi Sámuel street, Hungary",,
"Diószegi Sámuel street, Budapest, Hungary",,
"Budapest V. district, Vaci street, Hungary",,
"Vaci street, Budapest, Hungary",,
"Budapest III. district, Jós street, Hungary",,
"Jós street, Budapest, Hungary",,
"Budapest XIII. district, Szobor street 4., Hungary",,
"Budapest II. district, Mecset street 19., Hungary",,
"Mecset street 19., Budapest, Hungary",,
"Budapest, District XIII, Csanády Street, Hungary",,
"Csanády Street, Budapest, Hungary",,
"Budapest VII. district, Rákóczi street, Hungary",,
"Rákóczi street, Budapest, Hungary",,
"Budapest 6th district, Paulay Ede street, Hungary",,
"Paulay Ede street, Budapest, Hungary",,
"Budapest VI. district, Ó street, Hungary",,
"Budapest VI. district, Nagymező street 35., Hungary",,
"Nagymező street 35., Budapest, Hungary",,
"Budapest IX. district, Tompa street, Hungary",,
"Tompa street, Budapest, Hungary",,
"Budapest, District XIV, Telepes Street, Hungary",,
"Telepes Street, Budapest, Hungary",,
"Budapest I. district, Orom street, Hungary",,
"Orom street, Budapest, Hungary",,
"Budapest VI. district, Mozsár street 9., Hungary",,
"Mozsár street 9., Budapest, Hungary",,
"Budapest VI. district, Vörösmarty street 46., Hungary",,
"Vörösmarty street 46., Budapest, Hungary",,
"Budapest, District XIII, Visegrádi Street, Hungary",,
"Visegrádi Street, Budapest, Hungary",,
"Budapest VI. district, Székely Mihály street, Hungary",,
"Székely Mihály street, Budapest, Hungary",,
"Budapest IX. district, Ferenc körút, Hungary",,
"Budapest I. district, Naphegy street, Hungary",,
"Naphegy street, Budapest, Hungary",,
"Budapest V. district, Hold street, Hungary",,
"Hold street, Budapest, Hungary",,
"Budapest I. district, Bem rakpart 26., Hungary",,
"Budapest VII. district, Dembinszky street, Hungary",,
"Dembinszky street, Budapest, Hungary",,
"Budapest, District XI, Lágymányosi Street 4., Hungary",,
"Budapest, District XIII, Radnóti Miklós Street 4-6., Hungary",,
"Radnóti Miklós Street 4-6., Budapest, Hungary",,
"Budapest VII. district, Király street, Hungary",,
"Budapest II. district, Fillér street, Hungary",,
"Fillér street, Budapest, Hungary",,
"Budapest XI. district, Adony street, Hungary",,
"Adony street, Budapest, Hungary",,
"Budapest, District VII, Dohány Street, Hungary",,
"Budapest VI. district, Dessewffy street 18-20., Hungary",,
"Dessewffy street 18-20., Budapest, Hungary",,
"Budapest 13th district, Szent István Boulevard, Hungary",,
"Szent István Boulevard, Budapest, Hungary",,
"Budapest XIV. district, Fischer István street 121., Hungary",,
"Fischer István street 121., Budapest, Hungary",,
"Budapest V. district, Irányi street, Hungary",,
"Irányi street, Budapest, Hungary",,
"Budapest VI. district, Jókai tér 8., Hungary",,
"Budapest V. district, Steindl Imre street, Hungary",,
"Steindl Imre street, Budapest, Hungary",,
"Budapest, District 13, Vaci Street, Hungary",,
"Vaci Street, Budapest, Hungary",,
"Budapest XIII. district, Hollán Ernő street 3., Hungary",,
"Budapest 6th district, Hajós street, Hungary",,
"Hajós street, Budapest, Hungary",,
"Budapest VI. district, Belső-Terézváros, Hungary",,
"Belső-Terézváros, Budapest, Hungary",,
"Budapest IX. district, Lechner Ödön fasor 1., Hungary",,
"Budapest, District XI, Eszék Street, Hungary",,
"Eszék Street, Budapest, Hungary",,
"Budapest VIII. district, Corvin köz 4., Hungary",,
"Budapest 9th district, Ferenc Boulevard, Hungary",,
"Budapest, District XIV, American Road, Hungary",,
"American Road, Budapest, Hungary",,
"Budapest VII. district, Nefelejcs street, Hungary",,
"Nefelejcs street, Budapest, Hungary",,
"Budapest XI. district, Iglói street, Hungary",,
"Iglói street, Budapest, Hungary",,
"Budapest, District XIV, Ciklámen Street 4., Hungary",,
"Budapest II. district, Frankel Leó street, Hungary",,
"Frankel Leó street, Budapest, Hungary",,
"Budapest VII. district, Dob street 34-36., Hungary",,
"Dob street 34-36., Budapest, Hungary",,
"Budapest XIII. district, Kassák Lajos street, Hungary",,
"Budapest, Óra Street, District XII, Hungary",,
"Budapest IX. district, Ráday street 54., Hungary",,
"Ráday street 54., Budapest, Hungary",,
"Budapest V. district, Régi posta street, Hungary",,
"Régi posta street, Budapest, Hungary",,
"Budapest, District XI, Lágymányosi Street, Hungary",,
"Lágymányosi Street, Budapest, Hungary",,
"Budapest II. district, Csalán street 8., Hungary",,
"Csalán street 8., Budapest, Hungary",,
"Budapest VI. district, Teréz körút 19., Hungary",,
"Budapest V. district, Báthory street, Hungary",,
"Báthory street, Budapest, Hungary",,
"Budapest IX. district, Tóth Kálmán street, Hungary",,
"Tóth Kálmán street, Budapest, Hungary",,
"Budapest X. district, Fogadó street, Hungary",,
"Fogadó street, Budapest, Hungary",,
"Budapest VII. district, Rottenbiller street, Hungary",,
"Rottenbiller street, Budapest, Hungary",,
"Budapest 9th district, Lónyay street, Hungary",,
"Lónyay street, Budapest, Hungary",,
"Budapest 10th district, Harmat köz, Hungary",,
"Budapest V. district, Vármegye street 7., Hungary",,
"Budapest 9th district, Soroksári street, Hungary",,
"Soroksári street, Budapest, Hungary",,
"Budapest VII. district, Nyár street, Hungary",,
"Nyár street, Budapest, Hungary",,
"Budapest, District 13, Babér Street, Hungary",,
"Babér Street, Budapest, Hungary",,
"Budapest 6th district, Hajós street 13-15., Hungary",,
"Hajós street 13-15., Budapest, Hungary",,
"Budapest 6th district, Liszt Ferenc square, Hungary",,
"Liszt Ferenc square, Budapest, Hungary",,
"Budapest 6th district, Bajcsy-Zsilinszky street, Hungary",,
"Bajcsy-Zsilinszky street, Budapest, Hungary",,
"Budapest, District 13, Kádár Street, Hungary",,
"Kádár Street, Budapest, Hungary",,
"Budapest, District VII, Holló Street 12-14., Hungary",,
"Holló Street 12-14., Budapest, Hungary",,
"Budapest X. district, Somfa street 5/A, Hungary",,
"Somfa street 5/A, Budapest, Hungary",,
"Budapest VI. district, Lovag street 16., Hungary",,
"Lovag street 16., Budapest, Hungary",,
"Budapest I. district, Csalogány street 4., Hungary",,
"Budapest 9th district, Balázs Béla street, Hungary",,
"Budapest VIII. district, Népszínház street 34., Hungary",,
"Népszínház street 34., Budapest, Hungary",,
"Budapest II. district, Ady Endre street, Hungary",,
"Ady Endre street, Budapest, Hungary",,
"Budapest VIII. district, Orczy square, Hungary",,
"Orczy square, Budapest, Hungary",,
"Budapest, District VII, Thököly Street, Hungary",,
"Thököly Street, Budapest, Hungary",,
"Budapest V. district, Museum Boulevard 1., Hungary",,
"Museum Boulevard 1., Budapest, Hungary",,
"Budapest XII. district, Nagysalló street, Hungary",,
"Nagysalló street, Budapest, Hungary",,
"Budapest, District VI, Dessewffy Street, Hungary",,
"Dessewffy Street, Budapest, Hungary",,
"Budapest III. district, Ányos street, Hungary",,
"Ányos street, Budapest, Hungary",,
"Budapest V. district, Falk Miksa street, Hungary",,
"Falk Miksa street, Budapest, Hungary",,
"Budapest VII. district, Wesselényi street, Hungary",,
"Wesselényi street, Budapest, Hungary",,
"Budapest V. district, Belgrade quay, Hungary",,
"Belgrade quay, Budapest, Hungary",,
"Budapest, District XIII, Pozsonyi Street, Hungary",,
"Pozsonyi Street, Budapest, Hungary",,
"Budapest I. district, Attila street, Hungary",,
"Attila street, Budapest, Hungary",,
"Budapest V. district, Kossuth Lajos street, Hungary",,
"Kossuth Lajos street, Budapest, Hungary",,
"Budapest 13th district, Hollán Ernő street, Hungary",,
"Hollán Ernő street, Budapest, Hungary",,
"Budapest IX. district, Üllői street 101., Hungary",,
"Budapest, District VIII, Nagy Templom Street 34/B, Hungary",,
"Nagy Templom Street 34/B, Budapest, Hungary",,
"Budapest 9th district, Haller street 20., Hungary",,
"Haller street 20., Budapest, Hungary",,
"Budapest, District XI, Gárdonyi Square, Hungary",,
"Gárdonyi Square, Budapest, Hungary",,
"Budapest V. district, Aranykéz street 6., Hungary",,
"Budapest VIII. district, Vajdahunyad street, Hungary",,
"Vajdahunyad street, Budapest, Hungary",,
"Budapest, District VIII, József Boulevard 30-32., Hungary",,
"Budapest IX. district, Lechner Ödön avenue, Hungary",,
"Lechner Ödön avenue, Budapest, Hungary",,
"Budapest VI. district, Izabella street 43., Hungary",,
"Izabella street 43., Budapest, Hungary",,
"Budapest, District XIII, Hegedűs Gyula Street 17., Hungary",,
"Hegedűs Gyula Street 17., Budapest, Hungary",,
"Budapest VIII. district, Ciprus street 8., Hungary",,
"Ciprus street 8., Budapest, Hungary",,
"Budapest IX. district, Lenhossék street, Hungary",,
"Lenhossék street, Budapest, Hungary",,
"Budapest III. district, Haránt köz 14/B., Hungary",,
"Budapest V. district, Aranykéz street, Hungary",,
"Aranykéz street, Budapest, Hungary",,
"Budapest III. district, Flóra street, Hungary",,
"Flóra street, Budapest, Hungary",,
"Budapest II. district, Páfrány street, Hungary",,
"Páfrány street, Budapest, Hungary",,
"Budapest IX. district, Lónyay street 36., Hungary",,
"Lónyay street 36., Budapest, Hungary",,
"Budapest, District XI, Kosztolányi Dezső Square, Hungary",,
"Kosztolányi Dezső Square, Budapest, Hungary",,
"Budapest II. district, Madár street 8.a, Hungary",,
"Madár street 8.a, Budapest, Hungary",,
"Budapest XI. district, Alíz street 6., Hungary",,
"Budapest XII. district, Blue Ball Street, Hungary",,
"Blue Ball Street, Budapest, Hungary",,
"Budapest, District XIII, Üteg Street, Hungary",,
"Üteg Street, Budapest, Hungary",,
"Budapest 13th district, Jász street, Hungary",,
"Jász street, Budapest, Hungary",,
"Budapest VI. district, Ó street 24-26., Hungary",,
"Ó street 24-26., Budapest, Hungary",,
"Budapest 9th district, Haller street, Hungary",,
"Haller street, Budapest, Hungary",,
"Budapest, District XIII, Dévai Street 19., Hungary",,
"Dévai Street 19., Budapest, Hungary",,
"Budapest VI. district, Aradi street 14., Hungary",,
"Budapest, District XIII, Lőportár köz 6., Hungary",,
"Budapest, District XI, Bogdánfy Street, Hungary",,
"Bogdánfy Street, Budapest, Hungary",,
"Budapest VI. district, Nagymező street 36., Hungary",,
"Nagymező street 36., Budapest, Hungary",,
"Budapest VIII. district, Bacsó Béla street, Hungary",,
"Bacsó Béla street, Budapest, Hungary",,
"Budapest III. district, Kiscelli street, Hungary",,
"Kiscelli street, Budapest, Hungary",,
"Budapest VI. district, Ó street 38., Hungary",,
"Ó street 38., Budapest, Hungary",,
"Budapest, District XIII, Csata Street, Hungary",,
"Csata Street, Budapest, Hungary",,
"Budapest, District XI, Iglói Street 6., Hungary",,
"Budapest IX. district, Ráday street 33 b, Hungary",,
"Ráday street 33 b, Budapest, Hungary",,
"Budapest V. district, Nyáry Pál street, Hungary",,
"Nyáry Pál street, Budapest, Hungary",,
"Budapest, District XIII, Gidófalvy Lajos Street 4/b, Hungary",,
"Gidófalvy Lajos Street 4/b, Budapest, Hungary",,
"Budapest VIII. district, Kőfaragó street, Hungary",,
"Kőfaragó street, Budapest, Hungary",,
"Budapest, District XIII, Kerekes Street, Hungary",,
"Kerekes Street, Budapest, Hungary",,
"Budapest I. district, Kocsány street, Hungary",,
"Kocsány street, Budapest, Hungary",,
"Budapest VII. district, Damjanich street, Hungary",,
"Damjanich street, Budapest, Hungary",,
"Budapest III. district, Szentendrei street, Hungary",,
"Szentendrei street, Budapest, Hungary",,
"Budapest XIII. district, Cserhalom street 7., Hungary",,
"Budapest, District XIII, Cserhalom Street 6., Hungary",,
"Budapest 10th district, Gergely street, Hungary",,
"Gergely street, Budapest, Hungary",,
"Budapest II. district, Apostol street, Hungary",,
"Apostol street, Budapest, Hungary",,
"Budapest, District XII, Nárcisz Street, Hungary",,
"Nárcisz Street, Budapest, Hungary",,
"Budapest VI. district, Nagymező street, Hungary",,
"Nagymező street, Budapest, Hungary",,
"Budapest II. district, Gábor Áron street, Hungary",,
"Gábor Áron street, Budapest, Hungary",,
"Budapest II. district, Labanc street, Hungary",,
"Labanc street, Budapest, Hungary",,
"Budapest XIII. district, Újlipótváros - Rómaikert, Hungary",,
"Újlipótváros - Rómaikert, Budapest, Hungary",,
"Budapest IX. district, Máriássy street 4., Hungary",,
"Budapest IX. district, Ráday street 14., Hungary",,
"Budapest, District XI, Nadorliget Street, Hungary",,
"Nadorliget Street, Budapest, Hungary",,
"Budapest, District XI, Garda Street 3., Hungary",,
"Budapest 6th district, Káldy Gyula street, Hungary",,
"Káldy Gyula street, Budapest, Hungary",,
"Budapest, District XIV, Bíbor Street, Hungary",,
"Bíbor Street, Budapest, Hungary",,
"Budapest IX. district, Vágóhíd street, Hungary",,
"Vágóhíd street, Budapest, Hungary",,
"Budapest VIII. district, Corvin Promenade, Hungary",,
"Corvin Promenade, Budapest, Hungary",,
"Budapest III. district, Szőlő köz, Hungary",,
"Budapest I. district, Várkert rakpart 17., Hungary",,
"Budapest 6th district, Szondi street, Hungary",,
"Szondi street, Budapest, Hungary",,
"Budapest, District XI, Beregszász Street, Hungary",,
"Beregszász Street, Budapest, Hungary",,
"Budapest IX. district, Thaly Kálmán street, Hungary",,
"Thaly Kálmán street, Budapest, Hungary",,
"Budapest III. district, Szentendrei street 20., Hungary",,
"Szentendrei street 20., Budapest, Hungary",,
"Budapest II. district, Nyúl street, Hungary",,
"Nyúl street, Budapest, Hungary",,
"Budapest VII. district, Dohány street, Hungary",,
"Budapest XII. district, Stromfeld Aurél street, Hungary",,
"Stromfeld Aurél street, Budapest, Hungary",,
"Budapest, District XI, Bercsényi Street, Hungary",,
"Bercsényi Street, Budapest, Hungary",,
"Budapest, District XIV, Utász Street, Hungary",,
"Utász Street, Budapest, Hungary",,
"Budapest VI. district, Upper forest row, Hungary",,
"Upper forest row, Budapest, Hungary",,
"Budapest, District XIV, King Louis the Great Road, Hungary",,
"King Louis the Great Road, Budapest, Hungary",,
"Budapest 6th district, Ó street, Hungary",,
"Ó street, Budapest, Hungary",,
"Budapest VIII. district, Salétrom street, Hungary",,
"Salétrom street, Budapest, Hungary",,
"Budapest, District XI, Szamadó Street 19., Hungary",,
"Szamadó Street 19., Budapest, Hungary",,
"Budapest, District XIII, Fáy Street 15., Hungary",,
"Fáy Street 15., Budapest, Hungary",,
"Budapest, District 13, Hegedűs Gyula Street, Hungary",,
"Hegedűs Gyula Street, Budapest, Hungary",,
"Budapest 10th district, Somfa street 5/a, Hungary",,
"Somfa street 5/a, Budapest, Hungary",,
"Budapest, District XI, Bartók Béla Street, Hungary",,
"Bartók Béla Street, Budapest, Hungary",,
"Budapest VIII. district, Práter street, Hungary",,
"Práter street, Budapest, Hungary",,
"Budapest, 17th district, Pesti street 237/L, Hungary",,
"Pesti street 237/L, Budapest, Hungary",,
"Budapest I. district, Bem quay, Hungary",,
"Bem quay, Budapest, Hungary",,
"Budapest II. district, Trombitás street, Hungary",,
"Trombitás street, Budapest, Hungary",,
"Budapest, District XI, Rétalja slope, Hungary",,
"Rétalja slope, Budapest, Hungary",,
"Budapest IX. district, Csengettyű street, Hungary",,
"Csengettyű street, Budapest, Hungary",,
"Budapest VI. district, Király street, Hungary",,
"Király street, Budapest, Hungary",,
"Budapest VIII. district, Korányi Sándor street, Hungary",,
"Korányi Sándor street, Budapest, Hungary",,
"Budapest IX. district, Vaskapu street, Hungary",,
"Vaskapu street, Budapest, Hungary",,
"Budapest, District XIII, Balzac Street, Hungary",,
"Balzac Street, Budapest, Hungary",,
"Budapest, District 13, Pannonia Street, Hungary",,
"Pannonia Street, Budapest, Hungary",,
"Budapest VI. district, Zichy Jenő street 41., Hungary",,
"Zichy Jenő street 41., Budapest, Hungary",,
"Budapest XII. district, Hungarian Jacobins Square, Hungary",,
"Hungarian Jacobins Square, Budapest, Hungary",,
"Budapest IX. district, Gát street, Hungary",,
"Gát street, Budapest, Hungary",,
"Budapest VII. district, Kazinczy street, Hungary",,
"Kazinczy street, Budapest, Hungary",,
"Budapest XIV. district, Szugló street, Hungary",,
"Szugló street, Budapest, Hungary",,
"Budapest, District XIII, Pap Károly Street, Hungary",,
"Pap Károly Street, Budapest, Hungary",,
"Budapest VII. district, Rumbach Sebestyén street, Hungary",,
"Rumbach Sebestyén street, Budapest, Hungary",,
"Budapest 13th district, Kassák Lajos street, Hungary",,
"Kassák Lajos street, Budapest, Hungary",,
"Budapest VIII. district, Bródy Sándor street, Hungary",,
"Bródy Sándor street, Budapest, Hungary",,
"Budapest, District XI, Garda Street, Hungary",,
"Garda Street, Budapest, Hungary",,
"Budapest IV. district, Székpatak street, Hungary",,
"Székpatak street, Budapest, Hungary",,
"Budapest, District XIV, Kiszugló, Hungary",,
"Budapest, District XI, Hadak Street, Hungary",,
"Hadak Street, Budapest, Hungary",,
"Budapest II. district, Hárshegyi street 23., Hungary",,
"Hárshegyi street 23., Budapest, Hungary",,
"Budapest III. district, Pacsirtamező street, Hungary",,
"Pacsirtamező street, Budapest, Hungary",,
"Budapest IX. district, Üllői street 107., Hungary",,
"Budapest 9th district, Napfény street, Hungary",,
"Napfény street, Budapest, Hungary",,
"Budapest II. district, Zöldkő street 2., Hungary",,
"Budapest XII. district, Nagyenyed street, Hungary",,
"Nagyenyed street, Budapest, Hungary",,
"Budapest III. district, Iglice street 9-11., Hungary",,
"Iglice street 9-11., Budapest, Hungary",,
"Budapest, District XI, Birs Street, Hungary",,
"Birs Street, Budapest, Hungary",,
"Budapest II. district, Daru street, Hungary",,
"Daru street, Budapest, Hungary",,
"Budapest II. district, Republic street, Hungary",,
"Republic street, Budapest, Hungary",,
"Budapest II. district, Józsefhegyi street, Hungary",,
"Józsefhegyi street, Budapest, Hungary",,
"Budapest IX. district, Balázs Béla street, Hungary",,
"Balázs Béla street, Budapest, Hungary",,
"Budapest III. district, Folyamőr street, Hungary",,
"Folyamőr street, Budapest, Hungary",,
