price_huf,floor_area_m2,rooms,district,distance_to_center_km,balcony_m2,min_rent_months,internal_height_ord,property_condition_clean,floor_num,building_level_num,year_missing_flag,building_age,aircon_bin,elevator_bin
1365000,200,5,2,5.141908853,30,12,0,novel,1,4,1,,1,1
225000,33,1,6,1.144478681,0,12,0,renovated,1,8,0,35.5,1,1
741000,125,4,12,2.684578715,0,14,,novel,1,4,1,,1,1
289900,35,2,13,4.26471956,11,12,0,new,1,7,0,1,1,1
240000,41,2,3,7.772316604,0,12,0,renovated,1,3,1,,1,0
250000,42,1.5,9,3.262295076,0,12,0,novel,1,5,0,20.5,1,1
269000,42,1.5,7,1.253962327,0,12,0,renovated,1,2,1,,1,0
270000,44,2,14,4.779776174,0,7,0,new,1,4,0,1,1,0
230000,45,1.5,14,4.779776174,0,12,0,renovated,1,3,1,,1,0
240000,46,2,2,5.141908853,4,12,0,in good condition,1,2,0,35.5,1,0
240000,47,2,13,4.26471956,3,12,0,novel,1,5,0,20.5,0,1
289000,55,2,14,4.779776174,0,12,0,novel,1,3,0,15,1,1
450000,56,2,1,1.182039152,4,12,0,renovated,1,3,1,,1,0
320000,63,3,8,1.947015705,0,12,0,new,1,,0,1,0,1
360000,64,2.5,3,7.772316604,5,12,0,novel,1,4,0,61,1,0
300000,35,1.5,6,1.144478681,0,12,,new,1,,0,0,1,1
250000,35,1,9,3.262295076,0,12,,new,1,,1,,1,1
500000,100,4,2,5.141908853,4,12,0,novel,2,3,0,20.5,1,1
190000,27,1.5,7,1.253962327,0,12,0,renovated,2,3,0,5,0,0
800000,140,5,2,5.141908853,22,12,0,renovated,2,2,0,35.5,1,0
1050000,142,5,12,2.684578715,15,24,0,renovated,2,2,0,35.5,1,0
1600000,150,4,2,5.141908853,22,12,0,novel,2,4,0,20.5,1,1
200000,39,1.5,6,1.144478681,0,12,,in good condition,1,3,1,,0,0
210000,38,2,14,4.779776174,0,,,in good condition,1,,1,,1,0
351000,39,1,5,0.046426352,0,12,,renovated,1,3,1,,1,1
240000,33,1.5,13,4.26471956,2,12,0,new,2,6,0,7,1,1
190000,40,1,9,3.262295076,0,12,,medium condition,1,3,1,,0,0
240000,41,1.5,13,4.26471956,0,12,0,renovated,2,5,1,,1,1
350000,42,1.5,14,4.779776174,0,12,0,new,2,5,0,2,1,1
299000,43,1.5,11,3.46709936,0,12,0,novel,2,4,1,,1,1
240000,42,1.5,13,4.26471956,0,12,,novel,1,4,1,,1,0
280000,50,1.5,6,1.144478681,0,12,,renovated,1,3,1,,1,0
280000,47,2,7,1.253962327,0,12,0,novel,2,3,1,,1,1
350000,53,2,12,2.684578715,0,12,0,new,2,8,0,2,1,1
295000,54,2,15,8.022725287,4,12,0,renovated,2,4,1,,1,0
260000,56,2,12,2.684578715,8,12,0,renovated,2,3,1,,1,0
300000,58,3,14,4.779776174,0,12,0,novel,2,5,0,15,1,1
380000,59,2,9,3.262295076,0,12,0,novel,2,7,0,15,1,1
550000,67,3,3,7.772316604,17,12,0,novel,2,3,0,8,1,1
289000,46,2,11,3.46709936,0,24,,new,1,7,0,1,1,1
285000,38,1.5,12,2.684578715,0,12,0,renovated,3,4,1,,1,0
215000,38,1.5,9,3.262295076,0,12,0,renovated,3,4,0,61,1,0
305000,49,2,13,4.26471956,0,12,,renovated,1,4,1,,1,0
776100,75,3,12,2.684578715,0,12,0,new,2,3,0,5,1,1
530000,79,4,17,4.093395263,0,12,0,new,2,3,0,0,1,1
280000,47,1.5,13,4.26471956,0,12,0,new,3,4,0,9,1,1
430000,92,4,17,4.093395263,90,12,0,novel,2,2,0,5,1,1
265000,31,1,11,3.46709936,10,12,0,new,3,7,0,5,1,1
280000,51,2,9,3.262295076,2,12,,novel,1,6,0,20.5,1,1
210000,46,1.5,14,4.779776174,0,12,0,in good condition,4,4,0,61,1,0
220000,40,1.5,7,1.253962327,0,12,,renovated,2,4,0,86,0,0
220000,42,1.5,14,4.779776174,5,12,,novel,2,3,0,20.5,1,0
285000,54,2,11,3.46709936,0,17,,new,1,10,1,,1,1
370000,40,2,2,5.141908853,0,12,0,new,3,,1,,1,1
290000,45,2,13,4.26471956,0,12,0,new,3,8,0,7,1,1
260000,45,2,11,3.46709936,0,12,0,new,3,9,0,7,1,1
270000,47,2,11,3.46709936,6,12,0,new,3,7,0,7,1,1
195000,42,1.5,13,4.26471956,0,12,0,in good condition,5,8,0,35.5,0,1
290000,60,3,12,2.684578715,10,12,,renovated,1,3,1,,1,0
300000,42,1.5,5,0.046426352,8,6,0,renovated,5,5,1,,1,1
268000,50,2,6,1.144478681,0,12,0,renovated,3,4,0,20.5,1,1
300000,52,2,6,1.144478681,0,12,0,renovated,3,4,0,20.5,1,1
395000,60,2,6,1.144478681,0,12,0,renovated,3,4,1,,0,0
450000,65,3,14,4.779776174,0,12,,new,1,8,0,2,1,1
280000,64,2,14,4.779776174,14,12,0,renovated,3,3,0,35.5,1,0
270000,43,1.5,4,7.372421388,9,12,0,novel,5,10,0,6,0,1
650000,70,2,11,3.46709936,9,12,0,renovated,3,3,0,61,1,0
195000,30,1.5,2,5.141908853,4,12,0,novel,0,0,0,20.5,0,0
260000,41,1.5,14,4.779776174,11,12,0,novel,0,3,0,20.5,0,0
240000,46,1.5,14,4.779776174,0,12,0,renovated,0,10,1,,1,1
230000,33,1.5,9,3.262295076,5,12,,novel,3,6,1,,1,1
380000,73,3,2,5.141908853,0,12,,novel,1,2,0,20.5,1,0
420000,76,2,9,3.262295076,0,12,,renovated,1,,1,,1,1
360000,45,1.5,5,0.046426352,0,6,1,renovated,2,2,1,,1,0
490000,80,3,2,5.141908853,20,12,,renovated,1,4,1,,1,0
300000,80,3,7,1.253962327,0,12,0,renovated,3,3,1,,1,0
897000,122,3,5,0.046426352,9,12,0,renovated,4,4,1,,1,1
220000,43,1.5,14,4.779776174,2,12,,unknown,3,4,1,,1,0
220000,28,1,1,1.182039152,1,6,0,renovated,4,6,1,,1,1
220000,52,1.5,8,1.947015705,6,12,,in good condition,3,5,1,,0,1
690000,92,4,14,4.779776174,0,12,,new,1,8,0,2,1,1
500000,96,4,3,7.772316604,17,12,,novel,1,,1,,1,0
230000,32,1,9,3.262295076,2,12,0,new,4,9,0,2,1,1
624000,114,6,6,1.144478681,0,12,,renovated,2,3,1,,0,0
250000,36,1,12,2.684578715,3,12,0,novel,4,6,0,20.5,1,1
210000,38,1,13,4.26471956,0,12,0,in good condition,4,5,1,,1,1
741000,123,4,2,5.141908853,4,12,,renovated,2,,1,,0,1
269000,42,2,9,3.262295076,4,12,0,novel,4,6,0,20.5,1,1
330000,44,2,8,1.947015705,5,12,0,novel,4,9,0,15,1,1
320000,44,2,6,1.144478681,0,3,0,renovated,4,6,0,11,1,1
370000,53,1.5,5,0.046426352,0,12,1,renovated,3,5,1,,1,1
240000,50,1.5,5,0.046426352,1,12,1,renovated,5,5,1,,0,1
1560000,150,4,2,5.141908853,16,12,,unknown,2,,1,,1,1
975000,165,6,6,1.144478681,6,12,,renovated,2,,1,,1,0
320000,61,2,6,1.144478681,1,12,0,novel,4,6,0,20.5,1,1
402500,70,3,13,4.26471956,0,12,0,new,4,7,0,4,0,1
490000,70,3,8,1.947015705,0,12,0,novel,4,9,0,20.5,1,1
230000,31,1,10,7.367000298,0,12,,novel,2,8,0,5,1,1
225000,33,1,2,5.141908853,0,12,,renovated,2,2,1,,1,0
239000,33,1,13,4.26471956,8,12,,new,2,8,0,6,1,1
590000,72,3,11,3.46709936,0,12,0,new,4,6,0,5,1,1
380000,72,3,13,4.26471956,0,12,0,new,4,7,0,4,0,1
260000,36,1,13,4.26471956,4.33,12,,new,2,8,0,6,1,1
500000,81,3,14,4.779776174,10,12,0,new,4,8,1,,1,1
230000,36,1,7,1.253962327,0,12,,renovated,2,4,1,,1,1
250000,28,1.5,9,3.262295076,0,12,1,renovated,0,,1,,1,0
195000,32,1,6,1.144478681,0,12,0,novel,5,6,0,20.5,1,1
302500,47,1.5,13,4.26471956,5,12,,new,4,8,0,6,1,1
190000,40,1,13,4.26471956,0,12,0,renovated,5,5,1,,1,1
199000,42,1,5,0.046426352,0,,,renovated,2,4,1,,0,1
250000,48,1.5,13,4.26471956,4,12,,renovated,4,4,1,,1,0
280000,46,1.5,6,1.144478681,0,12,1,renovated,2,2,0,86,1,0
230000,28,1.5,6,1.144478681,0,12,0,renovated,1,4,0,4,0,1
210000,49,1.5,2,5.141908853,0,,0,renovated,1,7,1,,0,1
310000,52,2,9,3.262295076,5,12,0,new,5,8,0,4,1,1
275000,60,2,11,3.46709936,17,12,0,novel,5,7,0,20.5,1,1
790000,71,3,8,1.947015705,7,12,0,novel,5,9,0,13,1,1
390000,75,3,8,1.947015705,0,12,0,new,5,9,0,2,1,1
500000,76,3,13,4.26471956,5,12,0,renovated,5,7,1,,1,1
290000,45,2,13,4.26471956,5,12,0,novel,6,7,0,20.5,1,1
210000,50,2,11,3.46709936,0,12,0,in good condition,6,10,0,61,0,1
349000,50,2,13,4.26471956,0,12,,renovated,2,3,1,,1,0
370000,64,3,11,3.46709936,19,12,0,new,6,7,1,,1,1
310000,41,1.5,9,3.262295076,3,12,,novel,8,8,0,20.5,1,1
240000,38,1.5,9,3.262295076,7,12,0,novel,3,8,0,11,1,1
550000,92,3,8,1.947015705,0,12,0,novel,6,9,0,20.5,1,1
350000,55,3,16,9.661359004,0,12,,new,2,,0,3,1,1
240000,32,1,13,4.26471956,5,12,0,new,7,9,0,5,1,1
250000,56,2,12,2.684578715,6,12,,renovated,2,3,1,,1,0
450000,71,3,13,4.26471956,0,12,0,new,7,7,1,,1,1
560000,72,3,8,1.947015705,18,12,0,novel,7,10,0,8,1,1
1150500,94,3,6,1.144478681,0,12,0,novel,7,7,0,7,1,1
330000,48,2,9,3.262295076,0,12,0,novel,8,9,0,5,1,1
329900,69,3,3,7.772316604,0,12,0,novel,8,10,1,,1,1
720000,80,3,6,1.144478681,25,12,0,novel,8,8,0,20.5,1,1
240000,31,1.5,1,1.182039152,0,12,,renovated,0,5,1,,0,1
315000,55,2,9,3.262295076,50,12,0,new,9,9,0,2,1,1
600000,81,3,13,4.26471956,0,12,0,novel,9,9,0,20.5,1,1
255000,48,2,3,7.772316604,0,12,0,novel,10,10,1,,1,1
440000,67,3,8,1.947015705,0,12,0,new,0,6,0,6,1,1
260000,44,1.5,9,3.262295076,0,12,0,new,5,,0,3,1,1
499900,68,3,9,3.262295076,10,12,,new,2,10,0,1,1,1
995000,160,3,2,5.141908853,20,4,0,novel,0,3,1,,1,0
170000,28,1,10,7.367000298,20,12,0,renovated,0,0,0,20.5,0,0
285000,72,2,9,3.262295076,0,12,,novel,2,5,1,,0,1
390000,49,1.5,2,5.141908853,1,12,,renovated,0,3,1,,1,0
310000,41,1.5,9,3.262295076,0,12,0,novel,8,8,0,20.5,1,1
440000,75,3,2,5.141908853,20,12,,renovated,2,2,0,35.5,1,0
290000,75,3,6,1.144478681,0,12,,renovated,2,7,1,,1,1
240000,52,1.5,6,1.144478681,0,12,0,renovated,0,2,0,61,0,0
198000,56,2,10,7.367000298,0,6,0,in good condition,0,2,0,61,0,0
320000,70,2,2,5.141908853,0,12,0,renovated,2,3,1,,1,0
622000,95,4,3,7.772316604,42,24,0,new,0,3,0,11,1,0
380000,85,3,6,1.144478681,0,12,,renovated,2,,1,,1,0
1365000,147,3,5,0.046426352,0,12,1,renovated,1,4,1,,1,1
858000,168,3,5,0.046426352,0,12,1,in good condition,1,2,1,,1,1
170000,37,1,6,1.144478681,0,5,1,in good condition,1,5,1,,0,1
300000,42,1,7,1.253962327,0,12,1,renovated,1,,1,,0,1
500000,100,3,6,1.144478681,0,12,,renovated,3,3,1,,1,1
300000,44,1,5,0.046426352,0,12,1,renovated,1,5,1,,1,1
240000,44,2,7,1.253962327,0,12,1,in good condition,1,4,1,,0,0
350000,44,2,5,0.046426352,0,12,1,renovated,1,5,1,,1,1
400000,54,3,5,0.046426352,0,,1,novel,1,5,1,,1,1
280000,55,3,9,3.262295076,0,6,1,renovated,1,4,1,,1,1
225000,47,2,8,1.947015705,0,12,0,novel,4,7,0,20.5,1,1
331500,66,2,1,1.182039152,0,2,1,renovated,1,4,1,,0,0
245000,41,2,14,4.779776174,0,12,0,novel,3,7,0,14,0,1
275000,35,1,8,1.947015705,1,12,,novel,3,6,0,9,1,1
597000,83,2,12,2.684578715,2,12,1,renovated,1,3,0,0,1,0
1350000,122,3,5,0.046426352,0,12,1,renovated,2,3,1,,1,0
190000,24,1,7,1.253962327,0,12,1,renovated,2,3,1,,1,0
230000,35,1,5,0.046426352,0,12,1,in good condition,2,5,1,,0,1
250000,40,2,8,1.947015705,6,12,,novel,3,5,1,,1,1
285000,40,1,5,0.046426352,2,12,1,renovated,2,6,1,,1,1
225000,60,2,3,7.772316604,0,12,0,renovated,3,10,1,,0,1
475000,90,2.5,13,4.26471956,0,12,0,new,6,8,0,6,1,1
280000,47,2,7,1.253962327,0,12,1,in good condition,2,3,1,,1,1
300000,58,2,2,5.141908853,0,12,1,renovated,2,3,1,,0,1
420000,59,2,13,4.26471956,4,12,1,renovated,2,5,1,,1,1
300000,59,2,7,1.253962327,0,12,1,renovated,2,3,1,,1,0
292500,49,2,6,1.144478681,0,12,,renovated,3,4,1,,1,1
290000,60,3,6,1.144478681,0,12,1,renovated,2,3,0,61,1,0
300000,63,2,13,4.26471956,0,12,1,in good condition,2,6,1,,1,1
360000,65,2,6,1.144478681,0,12,1,renovated,2,5,1,,1,1
249000,50,2,9,3.262295076,0,12,,renovated,3,8,0,20.5,1,1
300000,68,2.5,14,4.779776174,0,12,0,renovated,1,3,1,,1,0
649000,67,2.5,1,1.182039152,20,12,0,renovated,2,3,1,,1,0
349000,85,3,6,1.144478681,0,12,1,renovated,2,,1,,1,1
390000,90,3,6,1.144478681,0,9,1,renovated,2,3,1,,0,0
295000,54,2,13,4.26471956,0,12,,renovated,3,5,1,,1,1
590000,90,3,6,1.144478681,1,12,1,novel,2,4,1,,1,1
320000,55,3,6,1.144478681,0,12,,renovated,3,5,1,,1,1
438750,106,3,9,3.262295076,0,12,1,renovated,3,5,1,,1,1
530000,56,3,1,1.182039152,6,12,,renovated,3,,1,,1,1
650000,110,5,6,1.144478681,0,1,1,renovated,3,5,1,,1,1
440000,112,4,5,0.046426352,5,12,1,renovated,3,3,1,,1,0
880000,125,5,1,1.182039152,5,4,1,renovated,3,6,1,,1,1
180000,30,1,7,1.253962327,0,12,1,renovated,3,3,1,,1,0
220000,51,2.5,11,3.46709936,0,12,,renovated,1,,1,,1,0
250000,65,2,13,4.26471956,0,3,1,renovated,3,4,1,,0,1
395000,65,2.5,8,1.947015705,0,12,,renovated,1,5,1,,1,1
330000,65,2,7,1.253962327,0,12,,renovated,3,7,1,,1,1
420000,70,2.5,2,5.141908853,13,12,0,renovated,3,3,1,,1,0
300000,66,2,13,4.26471956,6,12,,renovated,3,5,1,,1,1
